Result: 
[42, 16, 36, 26, 9, 13]
[2, 33, 9, 12, 13, 10]
[34, 24, 9, 43, 25, 10]
[33, 16, 39, 5, 9, 25]
[2, 42, 36, 5, 25, 10]
[16, 26, 5, 43, 12, 10]
[42, 34, 39, 24, 26, 5]
[2, 33, 16, 34, 36, 24]
[34, 36, 39, 12, 13, 25]
[2, 16, 39, 24, 43, 13]
[2, 33, 42, 26, 43, 25]
[42, 36, 39, 9, 43, 12]
[33, 34, 36, 5, 43, 13]
[33, 36, 39, 24, 26, 10]
[2, 34, 26, 5, 9, 12]
[33, 42, 16, 24, 12, 25]
[2, 42, 16, 34, 39, 10]
[2, 24, 26, 5, 13, 25]
[42, 34, 24, 12, 13, 10]
[16, 36, 24, 5, 9, 12]
[16, 34, 26, 13, 25, 10]
[39, 5, 9, 43, 13, 10]
[33, 34, 39, 26, 43, 12]
[2, 36, 26, 9, 43, 25]
[33, 42, 24, 5, 9, 43]
[2, 39, 24, 12, 25, 10]
[2, 33, 42, 39, 5, 13]
[33, 16, 36, 43, 12, 10]
[42, 16, 34, 5, 43, 25]
[33, 42, 34, 26, 9, 10]
[2, 42, 36, 26, 12, 13]
[42, 36, 24, 9, 13, 25]
[16, 39, 24, 26, 9, 12]
[2, 16, 34, 9, 43, 13]
[16, 36, 39, 26, 5, 25]
[33, 5, 43, 12, 13, 25]
[2, 34, 36, 24, 43, 10]
[2, 42, 16, 24, 9, 10]
[33, 34, 36, 39, 9, 25]
[42, 39, 26, 43, 13, 10]
[33, 16, 34, 5, 13, 10]
[33, 24, 26, 9, 12, 13]
[34, 36, 24, 26, 43, 25]
[2, 16, 39, 5, 43, 12]
[33, 36, 26, 5, 12, 10]
[42, 34, 9, 12, 25, 10]
[2, 16, 36, 13, 25, 10]
[2, 33, 36, 39, 26, 9]
[2, 33, 34, 39, 13, 25]
[2, 33, 42, 16, 26, 43]
[33, 39, 24, 5, 25, 10]
[2, 42, 34, 24, 43, 12]
[34, 36, 39, 5, 9, 13]
[42, 16, 39, 5, 12, 13]
[42, 16, 26, 9, 12, 25]
[33, 42, 16, 34, 36, 12]
[16, 36, 39, 24, 43, 25]
[2, 34, 39, 24, 5, 12]
[2, 39, 26, 9, 25, 10]
[33, 42, 39, 43, 13, 10]
[16, 36, 24, 5, 9, 10]
[33, 16, 26, 5, 13, 25]
[2, 33, 34, 36, 9, 25]
[2, 42, 36, 39, 26, 43]
[33, 16, 36, 43, 12, 13]
[2, 26, 5, 43, 25, 10]
[2, 33, 16, 34, 5, 25]
[42, 16, 24, 5, 25, 10]

Reuslt Size: 68

Total time cost: 2475ms
