Result: 
[45, 2, 4, 12, 41, 25]
[37, 44, 39, 22, 41, 25]
[45, 2, 30, 4, 11, 39]
[12, 11, 39, 41, 3, 10]
[2, 30, 44, 11, 22, 41]
[45, 4, 37, 22, 3, 25]
[2, 37, 12, 39, 10, 25]
[30, 4, 12, 44, 22, 25]
[45, 30, 44, 39, 3, 10]
[2, 4, 12, 44, 39, 3]
[2, 30, 22, 3, 10, 25]
[30, 4, 37, 11, 10, 25]
[45, 2, 30, 37, 44, 25]
[45, 30, 37, 12, 39, 22]
[45, 44, 11, 41, 10, 25]
[45, 4, 37, 12, 44, 10]
[37, 44, 11, 22, 3, 10]
[45, 2, 39, 22, 41, 10]
[2, 4, 37, 11, 41, 3]
[2, 4, 12, 11, 22, 10]
[45, 12, 44, 22, 41, 3]
[30, 4, 39, 22, 41, 3]
[30, 37, 12, 41, 3, 25]
[2, 30, 4, 44, 41, 10]
[45, 2, 11, 39, 3, 25]
[45, 30, 4, 12, 11, 3]
[30, 37, 12, 44, 11, 39]
[45, 4, 44, 11, 39, 22]
[4, 44, 39, 3, 10, 25]
[4, 37, 12, 22, 41, 10]
[45, 30, 37, 11, 41, 10]
[4, 12, 11, 39, 41, 25]
[30, 11, 39, 22, 10, 25]
[45, 37, 12, 11, 22, 25]
[2, 12, 44, 11, 3, 25]
[45, 2, 37, 12, 3, 10]
[2, 37, 44, 39, 41, 3]
[2, 30, 4, 37, 39, 22]
[45, 4, 37, 44, 39, 41]
[2, 30, 12, 39, 41, 25]
[2, 11, 22, 41, 3, 25]
[2, 12, 44, 39, 22, 10]
[45, 2, 4, 44, 22, 3]
[45, 4, 11, 41, 3, 10]
[45, 30, 4, 22, 10, 25]
[2, 30, 37, 12, 11, 10]
[2, 4, 37, 44, 11, 25]
[30, 12, 22, 41, 10, 25]
[45, 2, 30, 37, 41, 3]
[45, 2, 12, 11, 39, 41]
[30, 37, 44, 39, 41, 10]
[30, 37, 11, 39, 22, 3]
[30, 4, 44, 11, 41, 3]
[45, 12, 39, 22, 3, 25]
[45, 30, 4, 12, 39, 10]
[45, 2, 30, 12, 44, 41]
[2, 37, 12, 22, 41, 3]
[45, 30, 39, 41, 3, 25]
[45, 37, 39, 3, 10, 25]
[2, 37, 44, 22, 10, 25]
[45, 2, 44, 11, 39, 10]
[2, 30, 4, 11, 3, 25]
[30, 4, 37, 12, 3, 10]
[37, 12, 44, 11, 22, 41]
[12, 44, 41, 3, 10, 25]
[2, 4, 39, 41, 10, 25]
[45, 2, 37, 11, 39, 22]
[45, 30, 44, 22, 3, 25]
[30, 44, 11, 39, 41, 25]
[45, 4, 11, 22, 41, 25]
[4, 37, 11, 39, 22, 10]
[45, 37, 12, 44, 11, 3]
[45, 12, 11, 22, 3, 10]
[45, 2, 30, 12, 22, 25]
[45, 30, 4, 37, 44, 22]
[2, 30, 12, 44, 39, 3]
[2, 37, 11, 41, 10, 25]
[4, 37, 12, 39, 3, 25]
[30, 12, 44, 11, 10, 25]
[45, 4, 12, 44, 39, 25]
[4, 12, 11, 39, 22, 3]
[2, 39, 22, 41, 3, 10]
[4, 44, 11, 22, 41, 10]
[45, 30, 4, 37, 41, 25]
[45, 30, 37, 22, 41, 10]
[37, 44, 11, 39, 3, 25]
[30, 4, 12, 44, 39, 41]
[45, 30, 4, 12, 11, 22]
[2, 4, 39, 22, 41, 25]
[45, 2, 30, 4, 37, 10]
[2, 4, 37, 12, 44, 11]
[45, 2, 12, 41, 10, 25]
[37, 12, 11, 39, 22, 41]
[2, 30, 4, 11, 3, 10]
[30, 37, 44, 39, 22, 3]
[4, 37, 44, 41, 3, 25]
[30, 4, 37, 39, 22, 25]
[45, 30, 44, 11, 22, 10]
[4, 37, 22, 41, 3, 10]
[45, 37, 12, 44, 41, 25]
[45, 30, 12, 11, 41, 25]
[2, 44, 11, 39, 22, 25]
[2, 30, 44, 41, 3, 10]
[2, 30, 4, 12, 10, 25]
[2, 37, 11, 3, 10, 25]
[45, 4, 12, 39, 41, 3]
[2, 30, 12, 44, 22, 3]
[2, 37, 44, 22, 41, 25]
[2, 30, 12, 39, 41, 10]
[45, 4, 37, 12, 44, 11]

Reuslt Size: 110

Total time cost: 1155ms
